,Unnamed: 0,Tarih,Şimdi
604,604,26.04.2019,245.448
605,605,25.04.2019,245.008
606,606,24.04.2019,241.308
607,607,23.04.2019,238.681
608,608,22.04.2019,238.893
609,609,21.04.2019,239.191
610,610,18.04.2019,238.097
611,611,17.04.2019,235.937
612,612,16.04.2019,237.641
613,613,15.04.2019,240.482
614,614,14.04.2019,239.956
615,615,12.04.2019,239.666
616,616,11.04.2019,238.353
617,617,10.04.2019,239.006
618,618,09.04.2019,238.452
619,619,08.04.2019,237.55
620,620,07.04.2019,234.182
621,621,05.04.2019,233.488
622,622,04.04.2019,232.959
623,623,03.04.2019,233.553
624,624,02.04.2019,233.304
625,625,01.04.2019,228.34
626,626,31.03.2019,232.572
627,627,29.03.2019,231.719
628,628,28.03.2019,231.353
629,629,27.03.2019,227.143
630,630,26.03.2019,227.111
631,631,25.03.2019,236.324
632,632,24.03.2019,239.992
633,633,22.03.2019,243.301
634,634,21.03.2019,230.056
635,635,20.03.2019,229.589
636,636,19.03.2019,229.991
637,637,18.03.2019,229.166
638,638,17.03.2019,227.897
639,639,15.03.2019,227.944
640,640,14.03.2019,227.985
641,641,13.03.2019,229.915
642,642,12.03.2019,228.406
643,643,11.03.2019,225.833
644,644,10.03.2019,226.672
645,645,08.03.2019,227.079
646,646,07.03.2019,225.758
647,647,06.03.2019,224.954
648,648,05.03.2019,223.11
649,649,04.03.2019,223.166
650,650,03.03.2019,223.749
651,651,01.03.2019,223.543
652,652,28.02.2019,225.781
653,653,27.02.2019,225.7
654,654,26.02.2019,226.713
655,655,25.02.2019,226.465
656,656,24.02.2019,227.214
657,657,22.02.2019,227.047
658,658,21.02.2019,226.915
659,659,20.02.2019,229.646
660,660,19.02.2019,227.612
661,661,18.02.2019,226.003
662,662,17.02.2019,224.546
663,663,15.02.2019,223.892
664,664,14.02.2019,222.592
665,665,13.02.2019,222.157
666,666,12.02.2019,221.286
667,667,11.02.2019,222.043
668,668,10.02.2019,221.867
669,669,08.02.2019,221.604
670,670,07.02.2019,222.241
671,671,06.02.2019,219.29
672,672,05.02.2019,219.986
673,673,04.02.2019,220.035
674,674,03.02.2019,220.926
675,675,01.02.2019,220.629
676,676,31.01.2019,220.086
677,677,30.01.2019,221.949
678,678,29.01.2019,223.757
679,679,28.01.2019,223.187
680,680,27.01.2019,220.296
